"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Sparkling Violetear","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",1,0,0,0,0,0,0,0,0,0,0,0,0
"Bomarea multiflora",0,0,0,0,0,1,0,0,0,0,0,0,0
"Centropogon solanifolius",0,1,0,0,1,0,0,0,0,1,1,0,0
"Columnea ciliata",0,0,0,0,0,0,0,0,0,0,1,0,0
"Drymonia collegarum",0,1,0,0,1,0,0,0,0,1,0,0,0
"Drymonia tenuis",0,1,0,0,0,0,0,0,0,0,0,0,1
"Heliconia impudica",0,1,0,0,0,0,0,0,0,1,1,0,0
"Macleania stricta",0,0,0,0,0,1,0,0,0,0,0,0,0
"Palicourea demissa",1,0,1,0,1,0,0,1,0,0,0,0,0
"Palicourea lineata",0,0,1,0,0,1,0,0,1,0,1,0,0
"Pitcairnia sodiroi",0,1,0,0,0,0,0,0,0,1,1,0,0
"Psammisia ecuadorensis",1,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,1,0,1,0,1,0,0,1,0,1,0,0
"Psammisia ulbrichiana",0,1,0,1,1,1,1,0,0,0,1,1,0
"Renealmia sessilifolia",0,0,0,0,0,0,0,0,0,0,1,0,0
