"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Gorgeted Sunangel","Purple-bibbed Whitetip","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,1,0,0,0
"Columnea ciliata",0,1,0,0,0,0,0,0,0,1,1,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,1,0,0,0
"Columnea picta",0,0,0,0,0,0,0,0,1,0,0,0,0
"Columnea strigosa",0,1,0,0,0,0,0,0,0,1,1,0,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,1,0,0,0,1
"Guzmania jaramilloi",1,0,0,0,0,0,0,0,0,0,1,0,0
"Guzmania squarrosa",0,0,0,0,0,1,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,1,1,0,1,1
"Meriania tomentosa",0,1,1,1,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,0,0,0,1,0,0,0,0,0,0,0
"Palicourea demissa",1,0,0,0,1,0,1,0,0,0,0,0,0
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",1,0,0,0,1,0,0,1,1,0,0,0,0
"Salvia quitensis",0,0,0,0,1,0,0,0,0,0,0,0,0
